Tool Name,Category,Description,Tags,URL
Resemble.ai,Voice Cloning,Custom AI voice generation and cloning.,"Voice, Clone, Speech",https://www.resemble.ai
Descript Overdub,Voice AI,Create a digital clone of your voice for editing.,"Voice, Podcast, Editing",https://www.descript.com/overdub
Wavel AI,Voice AI,AI voiceovers and dubbing for global content.,"TTS, Localization, Media",https://www.wavel.ai
DoNotPay,Legal AI,AI-powered chatbot for legal services and dispute resolution.,"Legal, Automation, Services",https://www.donotpay.com
Legal Robot,Legal AI,Understand and analyze legal documents with AI.,"Law, Contract Review, LegalTech",https://www.legalrobot.com
Spellbook,Legal Assistant,AI copilot for reviewing and drafting contracts.,"Legal, Contracts, Assistant",https://www.spellbook.legal
Tiipe,Ecommerce AI,Generates product descriptions automatically.,"Ecommerce, Copywriting, Retail",https://www.tiipe.ai
Octane AI,Ecommerce Assistant,Quiz-based product recommendation AI.,"Shopify, Quiz, Ecommerce",https://www.octaneai.com
Postwise,Social Media AI,AI assistant for writing viral tweets and LinkedIn posts.,"Social Media, Writing, Growth",https://postwise.ai
Ocoya,Social Media AI,Content creation & scheduling powered by AI.,"Social, Scheduler, Posts",https://www.ocoya.com
Unbounce Smart Copy,Landing Page AI,Generate high-converting landing page content.,"Ads, SEO, Landing Page",https://unbounce.com/smart-copy
Browse AI,Web Scraping,No-code tool to scrape and monitor websites.,"Automation, Scraper, Data",https://www.browse.ai
Bardeen,Workflow Automation,Automate repetitive tasks from browser using AI.,"Automation, Browser, Productive",https://www.bardeen.ai
Tability,Goal Tracking AI,Helps teams track OKRs and goals with AI updates.,"Goals, Productivity, Team",https://tability.io
Rationale,Decision AI,AI assistant for decision making with pros & cons.,"Reasoning, Logic, Decisions",https://rationale.jina.ai
Kuki Chatbot,AI Companion,Conversational chatbot that remembers users.,"Chatbot, Fun, Friend",https://www.kuki.ai
Reclaim AI,Productivity Assistant,Smart calendar assistant that finds time for tasks.,"Calendar, Time Management",https://reclaim.ai
Supernormal,Meeting Notes AI,Auto-generates meeting notes from Google Meet.,"Meetings, Notes, Summary",https://supernormal.com
Mem AI,Knowledge Management,Organize and connect notes with AI intelligence.,"Notes, Assistant, Knowledge",https://mem.ai
BrowseGPT,Automation,Chrome extension to automate browser tasks using ChatGPT.,"Automation, Browser, GPT",https://github.com/dsdanielpark/BrowseGPT
Socratic by Google,Education AI,Helps students with homework using AI explanations.,"Homework, Education, Students",https://socratic.org
Quizgecko,Quiz AI,Turn text or PDFs into quizzes using AI.,"Learning, Education, Quiz",https://quizgecko.com
Gamma,Presentation AI,Generate beautiful decks using natural language.,"Slides, Story, Presentations",https://gamma.app
SlidesAI,Presentation Assistant,Create professional slides from text with AI.,"Slides, Decks, AI Writer",https://www.slidesai.io
Snack Prompt,Prompt Marketplace,Discover trending AI prompts across platforms.,"Prompt Engineering, Ideas",https://snackprompt.com
FlowGPT,Prompt Sharing,Community-driven platform for sharing GPT prompts.,"Prompts, GPT, Community",https://flowgpt.com
Glasp,Content Curation,"Highlight, annotate, and summarize web content with AI.","Notes, Research, Reading",https://glasp.co
Reword,Writing Assistant,"AI tool for rewriting, improving, and repurposing content.","Content, Rewriting, Blog",https://www.reword.com
Narrato,Content Workflow,"AI content workspace for teams with briefs, SEO, and publishing.","Content, Workflow, SEO",https://narrato.io
Scite,Research Assistant,Smart citations that show how a paper has been cited by others.,"Research, Academia, Papers",https://scite.ai
Consensus,Research AI,Search engine that summarizes scientific research using AI.,"Science, Research, Search",https://consensus.app
Jenni AI,Writing Assistant,AI co-writer for essays and academic writing.,"Writing, Essay, Research",https://jenni.ai
Scholarcy,Research Summarizer,Summarizes academic papers in seconds.,"Research, Summarization, Papers",https://www.scholarcy.com
HyperWrite,Writing Assistant,AI writing assistant that helps with suggestions and rewrites.,"Writing, Assistant, Productivity",https://www.hyperwriteai.com
Outwrite,Grammar Assistant,Grammar and style checker with advanced suggestions.,"Writing, Grammar, Editing",https://outwrite.com
Sudowrite,Creative Writing,AI creative writing assistant for fiction authors.,"Fiction, Writing, Creativity",https://www.sudowrite.com
Rytr,Content Creation,"Generates marketing copy, emails, blogs, and more.","Copywriting, SEO, AI Writer",https://rytr.me
Kafkai,Niche Content AI,AI writer for niche marketing articles.,"Niche, SEO, Content",https://kafkai.com
Frase,SEO AI,Optimizes content for SEO with AI-powered briefs.,"SEO, Optimization, Content",https://www.frase.io
GrowthBar,SEO AI,AI writing and SEO tools for content teams.,"SEO, Blogging, Writing",https://www.growthbarseo.com
NeuralText,Content Optimization,AI writing and keyword tools for SEO content.,"SEO, Copywriting, Automation",https://neuraltext.com
Simplified,Design & Content,"AI-powered platform for marketing design, video, and writing.","Marketing, Design, AI Writer",https://simplified.com
Creaitor AI,Writing AI,Generate content using customizable tones and styles.,"Writing, Creative, Marketing",https://creaitor.ai
Wordplay,Long-form AI,Writes long-form SEO blog posts in seconds.,"SEO, Blogging, Long-form",https://wordplay.ai
BlogNLP,NLP Writer,AI tool to create SEO-optimized blog posts.,"SEO, Blog, NLP",https://blognlp.com
ZimmWriter,Windows AI Writer,AI content writing tool integrated with Windows.,"Local App, Writing, SEO",https://zimmwriter.com
Picsart AI,Photo Editing,AI-powered image editing and enhancement features.,"Design, Photos, Mobile",https://picsart.com/ai-tools
Pixelcut,Ecommerce Design,Creates product photos for e-commerce with AI.,"Product Image, Design, Ecommerce",https://www.pixelcut.ai
Erase.bg,Background Remover,Free AI background remover tool.,"Image, Background, Editing",https://www.erase.bg
Bria AI,Image Generation,Creative visual assets powered by generative AI.,"Advertising, Design, AI Art",https://bria.ai
Illust AI,Illustration,Generate illustrations from text descriptions.,"Art, Drawing, Design",https://illust.ai
Patterned AI,Pattern Generator,Create unique AI-generated patterns for print or design.,"Textile, Background, Design",https://www.patterned.ai
Headlime,Marketing AI,Generate high-converting landing pages and ads.,"Copywriting, Ads, Conversion",https://headlime.com
Conversion.ai,Sales Copy AI,Creates sales content and ad copy with AI.,"Marketing, Copy, Sales",https://conversion.ai
FeedHive,Social Media AI,Content planning and AI writing for social platforms.,"Social Media, Content, Scheduler",https://feedhive.io
Predis.ai,Instagram Assistant,Generate Instagram captions and creatives with AI.,"Instagram, Posts, Design",https://predis.ai
Tweet Hunter,Twitter AI,Grow Twitter audience with AI-written tweets.,"Twitter, Engagement, Writing",https://tweethunter.io
Taplio,LinkedIn AI,Write and schedule LinkedIn content with AI.,"LinkedIn, Growth, Writing",https://taplio.com
Chatdoc,Document AI,Chat with any document like a human assistant.,"PDF, Q&A, Productivity",https://www.chatdoc.com
DocAnalyzer,PDF AI,Upload a document and get instant answers.,"Documents, Assistant, Summarizer",https://docanalyzer.ai
Docuask,Document Q&A,Ask questions directly from any document or file.,"File, Assistant, QA",https://www.docuask.com
Mindgrasp,Learning Assistant,"Summarizes books, videos, and articles.","Learning, Summarize, Study",https://mindgrasp.ai
NoteGPT,YouTube Summary,Summarizes YouTube videos with ChatGPT.,"Video Summary, Learning, Notes",https://notegpt.io
Eightify,Video Summary,Summarizes YouTube videos with key bullet points.,"YouTube, Summary, Productivity",https://eightify.app
Scribbl AI,Meeting Summary,AI-generated meeting notes for Zoom and others.,"Meetings, Notes, Productivity",https://www.scribbl.ai
Taskade AI,Team Productivity,All-in-one task and project management with AI.,"Tasks, Collaboration, Projects",https://www.taskade.com
Fathom,Meeting Assistant,AI meeting recorder and summary generator.,"Meetings, Notes, Zoom",https://fathom.video
Voicemod,Voice Changer,Real-time AI voice changing software.,"Gaming, Voice Effects, Fun",https://www.voicemod.net
VoicePen,Audio to Blog,Convert audio recordings to blog articles using AI.,"Voice, Blog, Content",https://www.voicepen.ai
LALAL.AI,Audio Separation,Extract vocals or instruments from any track.,"Music, Editing, Audio",https://www.lalal.ai
Moises,Music Practice,Split music into stems and practice like a pro.,"Musicians, Audio, Splitter",https://moises.ai
Beatbot,Music Generator,Generate short songs and beats with lyrics.,"Music, Lyrics, Fun",https://beatbot.fm
JukeBox (OpenAI),Music AI,Generate raw audio in genres with lyrics.,"Music, Generation, OpenAI",https://openai.com/research/jukebox
Suno AI,Music Creation,Create songs with vocals and instrumentals from text.,"Music, Creativity, Lyrics",https://suno.ai
Quickreply,Customer Support,AI assistant for generating email and chat replies.,"Customer Service, Email, Chat",https://www.quickreply.ai
Levity,Workflow Automation,Automate text and image workflows without coding.,"Automation, Productivity, Workflow",https://www.levity.ai
Durable,Business AI,Create a full business website with AI in minutes.,"Website, Builder, Business",https://durable.co
Tara AI,Project Management,AI-powered agile product delivery platform.,"Project, Agile, Productivity",https://tara.ai
Motion,Calendar AI,Plans your day automatically using AI scheduling.,"Calendar, Productivity, Tasks",https://www.usemotion.com
AskYourPDF,PDF Q&A,Ask questions and chat with your PDFs easily.,"Documents, PDF, Q&A",https://askyourpdf.com
ChatPDF Pro,Document Assistant,Advanced PDF chat and summarizer tool.,"Documents, AI Reader, Productivity",https://www.chatpdf.pro
Taleblocks,Video Creation,Text-to-video tool with AI voiceovers.,"Marketing, Animation, Video",https://taleblocks.com
Steve AI,Video Creator,Create animations and live videos from text.,"Explainer, AI Video, Animation",https://www.steve.ai
Vizard,Video Repurposing,Turn long videos into clips and highlights.,"Video Editing, AI Clip, Social Media",https://www.vizard.ai
Wisestamp,Email Signature AI,Professional email signature generator with AI.,"Email, Signature, Branding",https://www.wisestamp.com
Durable AI CRM,CRM Assistant,Automated CRM with AI-generated follow-ups.,"CRM, Sales, Assistant",https://durable.co/crm
Pinecone,Vector Database,Manage and search vector embeddings for AI applications.,"Search, Vector DB, AI Infra",https://www.pinecone.io
Zebracat,Video AI,Auto-create engaging social videos using AI.,"Video, Editing, Social Media",https://www.zebracat.ai
Aive,Creative Video AI,Automated creative video editing with AI.,"Video, AdTech, Editing",https://aive.ai
Nova AI,Subtitle Generator,"Generate captions, translate and edit videos with AI.","Video, Subtitles, Editing",https://www.nova-ai.co
Peech,Marketing Video AI,Create branded video content using AI.,"Marketing, Brand, AI Video",https://www.peech-ai.com
LightPDF,AI PDF Tools,Smart document editing and chatting tool.,"PDF, Chat, Edit",https://lightpdf.com/ai
Tome AI,Visual Storytelling,Build stunning presentations and narratives.,"Presentation, AI Story, Decks",https://beta.tome.app
AgentGPT,Autonomous Agents,Deploy autonomous AI agents directly in your browser.,"Agents, Autonomous, GPT",https://agentgpt.reworkd.ai
AutoGPT,Autonomous Agents,Open-source tool for creating self-guided AI agents.,"Python, Projects, Agents",https://github.com/Torantulino/Auto-GPT
GodMode,Agent UI,Interface for running AI agents in your browser.,"Autonomous Agents, UI",https://godmode.space
Caktus AI,Student Assistant,AI writing and learning assistant for students.,"Students, Assignments, AI Tutor",https://caktus.ai
Merlin,Browser Assistant,GPT-powered assistant for any website.,"Extension, Productivity, GPT",https://merlin.foyer.work
BlackBox AI,Code Assistant,AI coding assistant for developers.,"Coding, GitHub Copilot, Programming",https://www.blackbox.ai
Codeium,AI Coding,Fast AI code completion for multiple languages.,"Programming, IDE, AI Coding",https://codeium.com
Mutable.ai,Developer Productivity,AI coding and codebase optimization.,"Code, Refactor, Automation",https://www.mutable.ai
Tabnine,Code Completion,AI assistant that autocompletes code.,"Developer Tool, Coding",https://www.tabnine.com
Polarr Copilot,Photo Editing,Create aesthetic photo edits using AI.,"Photo, Effects, Filters",https://www.polarr.com/copilot
Designify,Product Image AI,Create amazing product images automatically.,"Design, Ecommerce, AI Editor",https://www.designify.com
AI Picasso,Sketch to Art,Turn sketches into digital art using AI.,"Art, Sketch, AI Paint",https://aipicasso.studio.site
Sloyd AI,3D Generator,Generate 3D models with prompts instantly.,"3D, Models, AI",https://www.sloyd.ai
Kaedim,3D Model Generator,Turns 2D images into 3D models with AI.,"3D, GameDev, Art",https://kaedim.com
Wonder Dynamics,VFX AI,Automatically animate characters into real scenes.,"VFX, Film, AI Animation",https://www.wonderdynamics.com
Plask,Motion Capture AI,AI-powered mocap and animation from video.,"Animation, Motion, 3D",https://plask.ai
Getimg.ai,AI Art Tool,Generate and edit images using multiple AI models.,"Art, AI Image, Editor",https://getimg.ai
Leonardo Style,Style Generator,Train and apply styles to your AI art.,"Style Transfer, Art",https://leonardo.ai
RunDiffusion,Stable Diffusion,Easiest way to run AI image models online.,"AI Art, Stable Diffusion",https://www.rundiffusion.com
Mage Space,Image Gen,Free platform for running generative image models.,"Stable Diffusion, Image",https://www.mage.space
Chai,AI Messaging,Chat with personalized AI characters.,"Companion, Fun, AI Chat",https://chai.ml
Kajiwoto,AI Companions,Build and train your own AI companion.,"Chatbot, Companion, Training",https://www.kajiwoto.com
Reface,Face Swap,AI face swap app for photos and videos.,"Entertainment, Fun, Video",https://reface.app
FacePlay,Face Animation,Animate your face in historical or fun videos.,"Face AI, Avatar, Fun",https://www.faceplay.app
Avatarify,Face Animation,Live avatar face animation via Zoom or OBS.,"Streaming, Video Call, Fun",https://avatarify.ai
Wombo AI,Lip Sync AI,Make images sing songs using AI lip sync.,"Entertainment, Video, Avatar",https://www.wombo.ai
Paint By Text,Image Editing,Edit images by describing changes in text.,"Text to Edit, Photoshop AI",https://paintbytext.apps.allenai.org
Gooey.AI,Workflow AI,Build AI workflows with a simple drag-and-drop interface.,"No Code, Automation, AI",https://www.gooey.ai
DreamStudio,Image AI,Official web app for Stable Diffusion by Stability AI.,"Art, Diffusion, AI",https://dreamstudio.ai
Lumen5,Video Creation,Turn blog posts into engaging videos using AI.,"Video, Content Marketing, Blog",https://lumen5.com
Cleanup.pictures,Photo Editing,"Remove unwanted objects, people, or text from images.","Image Editing, Cleanup, Design",https://cleanup.pictures
Boomy,Music AI,Create original songs instantly with AI.,"Music, Audio, Creator",https://boomy.com
Soundraw,Music Generator,AI-generated royalty-free music for creators.,"Music, Royalty-free, Composer",https://soundraw.io
Chatsonic,Chatbot,ChatGPT alternative with internet access and personas.,"GPT, Assistant, Chatbot",https://writesonic.com/chat
Jasper Art,Image Generator,"AI art generator from Jasper, text-to-image tool.","Art, Image, Jasper",https://www.jasper.ai/art
AIVA,AI Composer,Create emotional soundtracks for your projects using AI.,"Music, Composition, Film",https://www.aiva.ai
Compose AI,Writing Assistant,AI that helps autocomplete your sentences.,"Productivity, Writing, Email",https://www.compose.ai
Copy.ai,Marketing Copy,"AI writing tool for product descriptions, emails, and ads.","Copywriting, Marketing",https://www.copy.ai
Chatbase,Custom Chatbot,Train a chatbot on your own data and embed it on your site.,"GPT, Chatbot, Customer Support",https://www.chatbase.co
Writesonic Bot,AI Chat Assistant,ChatGPT-like bot from Writesonic with extra tools.,"Chat, GPT, AI Assistant",https://writesonic.com/chatbot
Wordtune,Writing Assistant,"Rewrites your sentences with better tone, clarity, or length.","Writing, Grammar, Rewriting",https://www.wordtune.com
EssayGenius,Essay Writing,AI tool to generate and edit essays.,"Essay, Writing, Students",https://essaygenius.ai
TutorAI,Learning Assistant,Learn anything from scratch using an AI tutor.,"Learning, Tutor, Study",https://tutorai.me
Yoodli,Communication Coach,AI speech coach for public speaking and interviews.,"Speech, Coaching, Interview",https://www.yoodli.ai
Beatoven.ai,AI Music Generator,AI tool to create mood-based royalty-free music.,"Music, Emotions, Background",https://www.beatoven.ai
Elicit,Research AI,AI research assistant for literature reviews.,"Academic, Research, Papers",https://elicit.org
Fireflies AI,Meeting Assistant,Automatically transcribes and summarizes meetings.,"Meetings, Notes, Assistant",https://fireflies.ai
Beautiful.ai,Presentation AI,Smart presentation builder with design automation.,"Slides, Decks, Business",https://www.beautiful.ai
Harpa AI,Browser Assistant,ChatGPT-powered automation for Chrome browsing.,"Extension, Web Automation",https://www.harpa.ai
Ayanza,Team Collaboration,Team collaboration and documentation powered by AI.,"Productivity, Teamwork, Docs",https://ayanza.com
Quickchat AI,Multilingual Chatbot,AI-powered customer support chatbots in any language.,"Support, Multilingual, Automation",https://quickchat.ai
Glean,AI Search,Enterprise AI search for your documents and knowledge base.,"Workplace, Search, Enterprise",https://www.glean.com
Notion AI,Productivity Assistant,"AI built into Notion to summarize, write, and brainstorm.","Notes, Docs, AI Writer",https://www.notion.so/product/ai
Tactiq,Meeting Transcription,AI notes from Google Meet and Zoom live captions.,"Notes, Meeting, Zoom",https://tactiq.io
Slidesgo AI,Presentation Templates,Generate presentation slides with AI suggestions.,"Slides, Templates, AI",https://slidesgo.com/ai-presentation
PromptHero,Prompt Library,"Find and share best prompts for Midjourney, DALL·E, and ChatGPT.","Prompt, Sharing, Inspiration",https://prompthero.com
Dify,Build AI Apps,Create ChatGPT-based apps without coding.,"No-code, AI Apps, GPT",https://dify.ai
Puzzle Labs,Documentation AI,Generate product documentation from structured content.,"Docs, AI Writer, DevTools",https://www.puzzlelabs.ai
Upword,Summary Assistant,"Summarize long articles, documents, and videos with AI.","Research, Summary, Productivity",https://upword.ai
MagicForm,AI Forms,Turn PDFs and files into smart forms using AI.,"Forms, Automation, Input",https://magicform.ai
PromptLayer,Prompt Manager,Monitor and manage prompts across GPT apps.,"DevTools, Prompt Engineering",https://promptlayer.com
PromptLoop,Excel AI,Use AI formulas inside Google Sheets and Excel.,"Sheets, Excel, GPT",https://promptloop.com
HeyFriday,Blog AI Writer,Create blog posts and articles with customizable tone.,"Blog, Content, AI Writing",https://heyfriday.ai
Content at Scale,Longform SEO,Publish SEO-optimized blog posts with minimal edits.,"Blog, SEO, Automation",https://contentatscale.ai
Listnr,Text to Speech,Create and host audio from text instantly.,"Audio, Podcast, TTS",https://www.listnr.tech
ReRender AI,Real Estate Editing,AI staging and enhancement for real estate images.,"Real Estate, Photos, AI",https://www.rerender.ai
Flair AI,Brand Design,AI tool for creating branded product visuals.,"Brand, Ecommerce, Visuals",https://flair.ai
AutoDraw,Drawing Assistant,Google's AI that turns sketches into drawings.,"Drawing, Sketch, Fun",https://www.autodraw.com
Uizard,UI Design,Turn sketches or text into app UI designs.,"UI/UX, Design, Wireframe",https://uizard.io
Galileo AI,UI Mockups,Generate UI mockups from simple text prompts.,"UI/UX, Design, Prototype",https://www.usegalileo.ai
LLaMA,Language Model,Meta’s open-source large language model.,"LLM, Research, Open Source",https://ai.meta.com/llama/
Orca,Fine-tuned LLM,Microsoft’s LLM tuned for reasoning tasks.,"LLM, Microsoft, Research",https://www.microsoft.com/ai
Mistral 7B,Language Model,Open-weight dense language model by Mistral AI.,"LLM, Open Source, French AI",https://mistral.ai
Zevi AI,Site Search AI,AI site search and discovery experience for ecommerce.,"Ecommerce, Search, Discovery",https://zevi.ai
Krea,AI for Designers,AI tool for generating and editing design compositions.,"Designers, Creatives, Art",https://www.krea.ai
Perplexity AI,AI Search Engine,Combines LLMs with web sources for factual answers.,"Search, Q&A, Browser",https://www.perplexity.ai
You AI,AI Journal,Private AI memory and journal that learns with you.,"Personal, Journal, Well-being",https://www.youai.ai
Pictory,Video Editing,Turn long-form content into branded short videos using AI.,"Video, Shortform, Editing",https://pictory.ai
Runway,Creative Suite,"AI-powered video, image, and audio editing tools.","Editing, Creative, Video",https://runwayml.com
Papercup,AI Dubbing,Translate and dub videos in multiple languages using AI.,"Translation, Video, Audio",https://www.papercup.com
Synthesia,AI Avatars,Create videos with AI avatars by typing text.,"Video, Avatar, Studio",https://www.synthesia.io
Descript,Video Editing,Edit video by editing text transcript. Great for podcasts.,"Transcription, Audio, Editing",https://www.descript.com
Colossyan,Training Videos,AI-generated training videos using avatars.,"Corporate, Training, Video",https://www.colossyan.com
Tavus,Personalized Video,AI tool to personalize videos at scale.,"Outreach, Marketing, Video",https://www.tavus.io
Hour One,Virtual Presenter,Create talking head videos with real human avatars.,"Presentation, Video, AI",https://www.hourone.ai
Veed.io,Online Video Editor,Simple video editor with AI-powered features.,"Video, Captions, Editor",https://www.veed.io
Rephrase.ai,AI Spokesperson,Generate personalized video messages using AI faces.,"Sales, Outreach, Video",https://www.rephrase.ai
Nova,AI Assistant,All-in-one AI assistant for daily tasks and productivity.,"Assistant, GPT, Everyday",https://www.novaapp.ai
Rewind,AI Memory,Mac app that records and remembers everything you see or say.,"Productivity, Memory, Recall",https://www.rewind.ai
Supernormal,Meeting Notes,AI tool for automatically writing meeting notes.,"Meetings, Summarization, Notes",https://supernormal.com
Otter.ai,Transcription,Real-time transcription and summaries of meetings.,"Notes, Audio, Live",https://otter.ai
Typewise,AI Keyboard,Private AI communication assistant for business writing.,"Typing, Communication, Writing",https://www.typewise.app
